행정구역읍면동명,미성년자인구수
가락동,14554
가리봉동,510
가산동,1301
가양동,5449
가회동,491
갈현동,6001
강일동,6657
개봉동,11042
개포동,10730
거여동,4176
고덕동,10689
고척동,6826
공덕동,4397
공릉동,11656
공항동,5565
광장동,8403
광희동,311
교남동,1614
구로동,13284
구산동,4409
구의동,9971
군자동,1773
금호동,7600
기동,2310
길동,5142
길음동,11446
낙성대동,1378
난곡동,2908
난향동,2486
남가좌동,8491
남영동,432
남현동,1668
내곡동,3125
노량진동,4434
녹번동,4544
논현동,3792
능동,1030
다산동,1278
답십리동,8271
당산동,6990
대림동,5095
대방동,6015
대조동,2579
대치동,18304
대학동,1583
대흥동,1466
도곡동,11517
도림동,1797
도봉동,5029
도화동,2967
독산동,11224
돈암동,6591
동선동,1435
동화동,1461
둔촌동,3694
등촌동,8710
마장동,2686
마천동,4366
망우동,5620
망원동,4788
면목3.동,2379
면목동,12520
명동,209
명일동,8190
목동,29537
무악동,1621
묵동,7218
문래동,6232
문정동,5617
미성동,3790
미아동,1935
반포동,20836
발산동,7858
방배동,16754
방이동,4866
방학동,10238
방화동,13262
번동,5303
보광동,1143
보라매동,2526
보문동,1853
부암동,1351
북가좌동,6985
북아현동,2401
불광동,7401
사근동,1071
사당동,12115
사직동,1233
삼각산동,6660
삼선동,2789
삼성동,10018
삼양동,3021
삼전동,3353
삼청동,273
상계3.동,3291
상계6.동,5133
상계동,21191
상도동,16027
상봉동,5009
상암동,6364
상일동,11243
서강동,3432
서교동,1922
서림동,1732
서빙고동,2171
서울특별시,1339819
서원동,1444
서초동,19516
석관동,3985
석촌동,3286
성내동,8123
성북동,1841
성산동,7835
성수동,6205
성현동,4645
세곡동,8559
소공동,294
송정동,1028
송중동,3366
송천동,2483
송파동,5639
수궁동,3307
수색동,1793
수서동,1167
수유동,6348
숭인동,1174
시흥동,13106
신길동,12841
신내동,9485
신당동,1587
신대방동,6989
신도림동,7009
신림동,814
신사동,10276
신수동,3509
신원동,1295
신월동,16974
신정동,32495
신촌동,1555
쌍문동,9695
아현동,4399
안암동,1206
암사동,10663
압구정동,4753
약수동,1927
양재동,10604
양평동,5316
여의동,5574
역삼동,10516
역촌동,5668
연남동,1303
연희동,3833
염리동,3016
염창동,8353
영등포동,4551
오금동,5687
오류동,9186
오륜동,3809
옥수동,4147
왕십리도선동,3804
왕십리동,2283
용강동,4185
용답동,936
용문동,1427
용산동,806
용신동,2702
우이동,2378
우장산동,8988
원효로동,4154
월계동,10410
월곡동,6862
위례동,11513
은천동,4512
을지로동,68
응봉동,2717
응암동,13147
이문동,4733
이촌동,6213
이태원동,1342
이화동,582
인수동,3450
인헌동,2482
일원동,9990
자양동,11846
잠실동,29068
잠원동,5341
장안동,10444
장위동,8014
장지동,4858
장충동,417
전농동,6413
정릉동,11238
조원동,1408
종로1.2.동,410
종로동,304
종암동,6052
중계2.동,4824
중계동,16429
중곡동,8444
중림동,1723
중앙동,939
중화동,4486
증산동,1785
진관동,11513
창동,16393
창신동,1806
천연동,2525
천호동,8770
청구동,1548
청담동,4185
청량리동,1738
청룡동,2731
청림동,2294
청운효자동,1886
청파동,1673
충현동,2455
평창동,2727
풍납동,5216
필동,363
하계동,8036
한강로동,2229
한남동,2260
합정동,1783
항동,3994
행당동,5648
행운동,2348
혜화동,1893
홍동,6764
홍은동,6365
화곡동,21978
화양동,1051
황학동,1198
회기동,1059
회현동,389
효창동,1443
후암동,2052
휘경동,4687
흑석동,4379
